hospital_name,ward,bed_type,avg_occupancy_rate,avg_staffed_beds,avg_closed_beds,pct_hours_ge_85pct,pct_hours_ge_90pct
Horizon Birmingham,Cardiology Ward,Standard,0.493934232489577,41.74029126213592,0.07402912621359223,0.011731391585760517,0.0072237632917244565
Horizon Birmingham,Day Case Unit,Day Case,0.13767529665587916,2.9314031437817847,0.0186084142394822,0.031206657420249653,0.031206657420249653
Horizon Birmingham,General Medicine Ward A,Standard,0.865501955231931,15.890603328710124,0.0031206657420249652,0.6347087378640777,0.5599283402681461
Horizon Birmingham,General Medicine Ward B,Standard,0.8915297247539793,15.900832177531207,0.0,0.7074086916319926,0.6367313915857605
Horizon Birmingham,ICU,Critical Care,0.824265102481122,8.932732316227462,0.0072237632917244565,0.5843157651410079,0.4602981969486824
Horizon Birmingham,Oncology Ward,Standard,0.7926257274754562,17.891990291262136,0.019070735090152564,0.412332408691632,0.3374364308830328
Horizon Birmingham,Orthopaedics Ward A,Standard,0.9311068381456731,10.932385575589459,0.022018030513176145,0.8016643550624133,0.8016643550624133
Horizon Birmingham,Orthopaedics Ward B,Standard,0.9300540074811919,10.926895515487749,0.024503005085529356,0.8035136384650948,0.8035136384650948
Horizon Edinburgh,Cardiology Ward,Standard,0.7857481342051384,15.89661349976884,0.03138002773925104,0.46203190013869627,0.3771382339343504
Horizon Edinburgh,Day Case Unit,Day Case,0.09105794421328402,2.9326167360147943,0.010402219140083218,0.00889967637540453,0.00889967637540453
Horizon Edinburgh,General Medicine Ward A,Standard,0.6869124389237896,16.895342117429497,0.015834489135460008,0.2668747110494683,0.20278548312528896
Horizon Edinburgh,General Medicine Ward B,Standard,0.7045544127845312,16.89331946370781,0.03317152103559871,0.26433194637078133,0.19469486823855756
Horizon Edinburgh,ICU,Critical Care,0.6960013374281752,7.930998613037448,0.022306981044845124,0.39863615349052245,0.2730004623208507
Horizon Edinburgh,Oncology Ward,Standard,0.8172791677039251,12.929553860379103,0.04403606102635229,0.4971104946833102,0.4971104946833102
Horizon Edinburgh,Orthopaedics Ward A,Standard,0.8487690707350902,9.930536292186778,0.009593157651410078,0.6210702727693019,0.6138465094775775
Horizon Edinburgh,Orthopaedics Ward B,Standard,0.8498105768736837,9.928860379103098,0.0019070735090152566,0.6195677300046232,0.6120550161812298
Horizon London Central,Cardiology Ward,Standard,0.8076363883661164,37.79085760517799,0.09795423023578363,0.4494336569579288,0.3579519186315303
Horizon London Central,Day Case Unit,Day Case,0.1724215980890738,3.9319810448451227,0.012251502542764678,0.03357605177993527,0.03357605177993527
Horizon London Central,General Medicine Ward A,Standard,0.7783271154104099,34.78929727230698,0.030628756356911698,0.41811141932501156,0.33142625982431806
Horizon London Central,General Medicine Ward B,Standard,0.7747910138761063,34.789990753582984,0.09281091077207582,0.404126213592233,0.3298659269533056
Horizon London Central,ICU,Critical Care,0.7592766340624708,17.90008090614887,0.020284327323162276,0.37037679149329633,0.30755894590846045
Horizon London Central,Oncology Ward,Standard,0.7606376434326253,37.79894822006472,0.05513176144244106,0.30755894590846045,0.2191978733240869
Horizon London Central,Orthopaedics Ward A,Standard,0.8099585260140623,27.82807443365696,0.052011095700416086,0.4878640776699029,0.35564031437817845
Horizon London Central,Orthopaedics Ward B,Standard,0.8220274049998392,27.82385575589459,0.11407766990291263,0.505374479889043,0.3932038834951456
Horizon Manchester,Cardiology Ward,Standard,0.8502982537272171,23.856507165973184,0.04692556634304207,0.5821197411003236,0.5241562644475266
Horizon Manchester,Day Case Unit,Day Case,0.12341558791801512,3.930998613037448,0.0,0.009824318076745261,0.009824318076745261
Horizon Manchester,General Medicine Ward A,Standard,0.8907749658087274,20.866909385113267,0.04137771613499769,0.7078710124826629,0.6446486361534906
Horizon Manchester,General Medicine Ward B,Standard,0.884509569597441,20.86615811373093,0.10945446139620897,0.6900716597318539,0.6247688395746648
Horizon Manchester,ICU,Critical Care,0.9055972928545745,9.930825242718447,0.014216366158113732,0.7568770226537217,0.7522538141470181
Horizon Manchester,Oncology Ward,Standard,0.8852716168793072,19.857374017568194,0.060217290799815075,0.7109916782246879,0.6352288488210819
Horizon Manchester,Orthopaedics Ward A,Standard,0.65962734737602,31.81853906611188,0.016181229773462782,0.14603559870550162,0.11147711511789182
Horizon Manchester,Orthopaedics Ward B,Standard,0.6514377505362887,31.833448913546,0.02311604253351826,0.15481969486823854,0.11893203883495146
Horizon Riverside,Cardiology Ward,Standard,0.9477932489068982,17.894417475728154,0.05172214516874711,0.8423485899214055,0.7795885344429033
Horizon Riverside,Day Case Unit,Day Case,0.12392606719063029,3.9308830328247804,0.015834489135460008,0.0146208969024503,0.0146208969024503
Horizon Riverside,General Medicine Ward A,Standard,0.9055550550856805,17.894706426259823,0.1010748959778086,0.7149214054553861,0.643666204345816
Horizon Riverside,General Medicine Ward B,Standard,0.9028575224588217,17.886846971798427,0.03900832177531206,0.7197179842810911,0.6655108645399908
Horizon Riverside,ICU,Critical Care,0.7549182882920746,11.931287563569118,0.03138002773925104,0.3539066111881646,0.3539066111881646
Horizon Riverside,Oncology Ward,Standard,0.4299572596609536,57.6922098936662,0.05224225612575127,0.0,0.0
Horizon Riverside,Orthopaedics Ward A,Standard,0.9465677930483756,11.932038834951456,0.005605640314378178,0.8387656033287101,0.8387656033287101
Horizon Riverside,Orthopaedics Ward B,Standard,0.9559937096344864,11.930594082293112,0.0056634304207119745,0.8644244105409153,0.8644244105409153
