month,occupancy_rate,surgery_cancel_rate,safe_staffing_rate
1,0.8276133211467193,0.10890052356020942,0.9398185483870968
2,0.862620217621921,0.09391992090954028,0.9381578947368421
3,0.8065205791327238,0.08073303615651313,0.9589717741935484
4,0.7622971301949645,0.06907308377896614,0.9604166666666667
5,0.7186304992038096,0.07195491980927611,0.961491935483871
6,0.6911977800340897,0.06482643245503973,0.9654166666666667
7,0.669130963992215,0.06254545454545454,0.9650201612903225
8,0.5965884486004245,0.07093425605536333,0.9654233870967742
9,0.7106599078036206,0.06530782029950083,0.9634375
10,0.7585184921795481,0.06911532385466035,0.9638104838709678
11,0.7902434093853661,0.08802308802308802,0.9655208333333334
12,0.8088991966932532,0.11948051948051948,0.9358870967741936
