date,occupied_beds,staffed_beds,occupancy_rate,z_score
2024-02-16,16506.0,18079.0,0.9129929752751812,2.27002412417739
2024-04-15,12805.0,18158.0,0.7051988104416786,-2.1409661615872713
2024-05-27,11367.0,18161.0,0.6259016573977204,-2.0446374986962805
2024-07-08,10124.0,18175.0,0.557028885832187,-2.3056114761431026
2024-08-16,11736.0,18169.0,0.6459353844460345,2.1634177940646437
2024-08-26,9578.0,18159.0,0.5274519522000111,-2.3134624480647306
2024-09-17,13662.0,18173.0,0.7517746106861828,2.080253503821024
2024-09-26,14161.0,18178.0,0.77901859390472,2.065106521586808
2025-01-17,15607.0,18052.0,0.8645579437181475,2.145987991644098
2025-05-18,11242.0,18085.0,0.6216201271772187,-2.2345892713099516
2025-10-05,11705.0,18081.0,0.6473646369116752,-2.0735680112337502
