scenario,hospital_id,ward,bed_type,baseline_pred,scenario_pred,delta_beds,pct_change
flu_outbreak,HHN-BIR-01,Cardiology Ward,Standard,19.633165256337417,20.862508947442514,1.2293436911050968,6.261566461924804
flu_outbreak,HHN-BIR-01,Day Case Unit,Day Case,0.4566581788405423,0.5468491614478221,0.09019098260727987,19.75021729300355
flu_outbreak,HHN-BIR-01,General Medicine Ward A,Standard,16.146815355461804,16.206377609319414,0.05956225385761016,0.3688792653311831
flu_outbreak,HHN-BIR-01,General Medicine Ward B,Standard,14.604646795364527,15.539064047360704,0.9344172519961766,6.39808182346976
flu_outbreak,HHN-BIR-01,ICU,Critical Care,9.086099117515552,9.376029037460107,0.2899299199445551,3.190917424460496
flu_outbreak,HHN-BIR-01,Oncology Ward,Standard,12.24125035341974,12.561279482618264,0.3200291291985238,2.614350004769895
flu_outbreak,HHN-BIR-01,Orthopaedics Ward A,Standard,11.346563781767415,11.409858167638884,0.06329438587146896,0.557828670325509
flu_outbreak,HHN-BIR-01,Orthopaedics Ward B,Standard,10.977343167990849,11.003269998662597,0.02592683067174839,0.23618493359439816
flu_outbreak,HHN-EDI-01,Cardiology Ward,Standard,13.383544096378067,14.746525798807454,1.362981702429387,10.184011743184268
flu_outbreak,HHN-EDI-01,Day Case Unit,Day Case,0.3433624314358515,0.35438710265658757,0.011024671220736082,3.210797166898488
flu_outbreak,HHN-EDI-01,General Medicine Ward A,Standard,15.767313508767216,15.8701238354106,0.10281032664338419,0.6520472025003993
flu_outbreak,HHN-EDI-01,General Medicine Ward B,Standard,15.270395142262016,16.02973196580345,0.7593368235414335,4.972607561672777
flu_outbreak,HHN-EDI-01,ICU,Critical Care,6.761733725268479,7.1660935610810625,0.40435983581258395,5.980120664933883
flu_outbreak,HHN-EDI-01,Oncology Ward,Standard,11.889404108076706,12.338429005779892,0.4490248977031861,3.7766812669623593
flu_outbreak,HHN-EDI-01,Orthopaedics Ward A,Standard,9.569193992112707,9.791754685999098,0.22256069388639155,2.3258039712627263
flu_outbreak,HHN-EDI-01,Orthopaedics Ward B,Standard,9.984816852301078,10.32880403265735,0.3439871803562724,3.44510255365373
flu_outbreak,HHN-LON-01,Cardiology Ward,Standard,29.17572887030381,32.1631828347849,2.9874539644810874,10.239517846362475
flu_outbreak,HHN-LON-01,Day Case Unit,Day Case,0.5176687972085201,0.6063086443244233,0.08863984711590323,17.122887760260074
flu_outbreak,HHN-LON-01,General Medicine Ward A,Standard,32.97028463760739,33.685339977232736,0.7150553396253443,2.1687872806827997
flu_outbreak,HHN-LON-01,General Medicine Ward B,Standard,32.55686566980205,34.55529484274715,1.9984291729451016,6.138272624931257
flu_outbreak,HHN-LON-01,ICU,Critical Care,15.785937541614938,17.00117370560015,1.2152361639852103,7.698219765418436
flu_outbreak,HHN-LON-01,Oncology Ward,Standard,25.67825339202252,27.20658138918521,1.528327997162691,5.951837821015887
flu_outbreak,HHN-LON-01,Orthopaedics Ward A,Standard,22.9055605613599,24.77470146925629,1.8691409078963908,8.160205915455755
flu_outbreak,HHN-LON-01,Orthopaedics Ward B,Standard,26.72308020808453,27.057096097900896,0.3340158898163672,1.2499153810694226
flu_outbreak,HHN-LON-02,Cardiology Ward,Standard,17.947914817664305,18.010182925788573,0.062268108124268196,0.3469378407289076
flu_outbreak,HHN-LON-02,Day Case Unit,Day Case,0.566849818180427,0.6135466830024204,0.04669686482199342,8.237960624542339
flu_outbreak,HHN-LON-02,General Medicine Ward A,Standard,17.185471305169628,17.757203201836315,0.5717318966666873,3.3268328026284766
flu_outbreak,HHN-LON-02,General Medicine Ward B,Standard,15.529309557466734,16.524817236232376,0.9955076787656427,6.410508304195579
flu_outbreak,HHN-LON-02,ICU,Critical Care,8.087062947563936,8.613199119784365,0.5261361722204292,6.50589930648329
flu_outbreak,HHN-LON-02,Oncology Ward,Standard,26.09703572172352,26.610889807106712,0.5138540853831941,1.9690132276420005
flu_outbreak,HHN-LON-02,Orthopaedics Ward A,Standard,11.783554490239288,11.8545398249772,0.07098533473791235,0.6024102048046018
flu_outbreak,HHN-LON-02,Orthopaedics Ward B,Standard,11.783554490239288,11.97775505198132,0.19420056174203282,1.6480643587034425
flu_outbreak,HHN-MAN-01,Cardiology Ward,Standard,24.263344325280535,24.378138625146583,0.11479429986604828,0.47311820797284515
flu_outbreak,HHN-MAN-01,Day Case Unit,Day Case,0.46673566992912074,0.5475930115477664,0.08085734161864566,17.324011604025205
flu_outbreak,HHN-MAN-01,General Medicine Ward A,Standard,18.283336980285867,19.182479946836047,0.8991429665501798,4.917827459613564
flu_outbreak,HHN-MAN-01,General Medicine Ward B,Standard,20.49419899062882,20.704905656975505,0.21070666634668456,1.0281283325248882
flu_outbreak,HHN-MAN-01,ICU,Critical Care,10.434482033820025,10.526492737514799,0.09201070369477371,0.8817946439176428
flu_outbreak,HHN-MAN-01,Oncology Ward,Standard,17.429400957565793,18.256614052675268,0.8272130951094745,4.746078750058222
flu_outbreak,HHN-MAN-01,Orthopaedics Ward A,Standard,24.05647234879391,25.44350142772107,1.38702907892716,5.765721003548135
flu_outbreak,HHN-MAN-01,Orthopaedics Ward B,Standard,21.748619958222765,23.24020543893424,1.4915854807114748,6.858299439581375
delayed_discharges,HHN-BIR-01,Cardiology Ward,Standard,19.633165256337417,20.62039072772906,0.9872254713916426,5.028356143811171
delayed_discharges,HHN-BIR-01,Day Case Unit,Day Case,0.4566581788405423,0.4566581788405423,0.0,0.0
delayed_discharges,HHN-BIR-01,General Medicine Ward A,Standard,16.146815355461804,17.056168101921863,0.9093527464600584,5.631777700068031
delayed_discharges,HHN-BIR-01,General Medicine Ward B,Standard,14.604646795364527,16.355876143774715,1.7512293484101882,11.990905175235211
delayed_discharges,HHN-BIR-01,ICU,Critical Care,9.086099117515552,9.543322178000691,0.4572230604851395,5.032116143260385
delayed_discharges,HHN-BIR-01,Oncology Ward,Standard,12.24125035341974,13.154003749160106,0.9127533957403653,7.45637389472536
delayed_discharges,HHN-BIR-01,Orthopaedics Ward A,Standard,11.346563781767415,12.009678138493033,0.6631143567256181,5.844186570309192
delayed_discharges,HHN-BIR-01,Orthopaedics Ward B,Standard,10.977343167990849,11.600328809379532,0.6229856413886825,5.675195098257147
delayed_discharges,HHN-EDI-01,Cardiology Ward,Standard,13.383544096378067,15.026998419050722,1.643454322672655,12.27966457044376
delayed_discharges,HHN-EDI-01,Day Case Unit,Day Case,0.3433624314358515,0.3433624314358515,0.0,0.0
delayed_discharges,HHN-EDI-01,General Medicine Ward A,Standard,15.767313508767216,16.96792900324488,1.2006154944776632,7.614585032574357
delayed_discharges,HHN-EDI-01,General Medicine Ward B,Standard,15.270395142262016,17.430129627083453,2.1597344848214366,14.1432783153345
delayed_discharges,HHN-EDI-01,ICU,Critical Care,6.761733725268479,7.051647765233927,0.2899140399654483,4.2875696048491925
delayed_discharges,HHN-EDI-01,Oncology Ward,Standard,11.889404108076706,12.731072335865269,0.8416682277885634,7.079145600045688
delayed_discharges,HHN-EDI-01,Orthopaedics Ward A,Standard,9.569193992112707,10.491316745242713,0.9221227531300062,9.636368056599697
